AvgSpotLen_l	BioSample_s	Experiment_s	Library_Name_s	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	age_s	anonymized_name_s	body_habitat_s	body_product_s	body_site_s	env_feature_s	env_material_s	env_package_s	host_common_name_s	host_scientific_name_s	host_subject_id_s	host_taxid_s	sample_type_s	sex_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	MBases_l	MBytes_l	Platform_s	ReleaseDate_s	SRA_Study_s	age_unit_s	collection_timestamp_s	dna_extracted_s	elevation_s	env_biome_s	geo_loc_name_s	latitude_s	longitude_s	physical_specimen_location_s	physical_specimen_remaining_s	project_name_s	public_s	title_s
225	SAMEA103983632	ERX2002813	393.F2Mose396	indoor metagenome	ERR1942280	ERS1672800	qiita_sid_393:393.F2Mose396	Not applicable	F2Mose396	Not applicable	Not applicable	Not applicable	surface	dust	built environment	Not applicable	Not applicable	F2	Not applicable	computer mouse	Not applicable	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
226	SAMEA103983633	ERX2002814	393.F2Plmr396	human skin metagenome	ERR1942281	ERS1672801	qiita_sid_393:393.F2Plmr396	32	F2Plmr396	UBERON:skin	UBERON:sebum	UBERON:skin of palmar area of hand	human-associated habitat	sebum	human-skin	human	Homo sapiens	F2	9606	right palm	female	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
229	SAMEA103983634	ERX2002815	393.F5Mose396	indoor metagenome	ERR1942282	ERS1672802	qiita_sid_393:393.F5Mose396	Not applicable	F5Mose396	Not applicable	Not applicable	Not applicable	surface	dust	built environment	Not applicable	Not applicable	F5	Not applicable	computer mouse	Not applicable	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
227	SAMEA103983635	ERX2002816	393.F5Plmr396	human skin metagenome	ERR1942283	ERS1672803	qiita_sid_393:393.F5Plmr396	Missing: Not provided	F5Plmr396	UBERON:skin	UBERON:sebum	UBERON:skin of palmar area of hand	human-associated habitat	sebum	human-skin	human	Homo sapiens	F5	9606	right palm	female	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
217	SAMEA103983636	ERX2002817	393.F6Mose396	indoor metagenome	ERR1942284	ERS1672804	qiita_sid_393:393.F6Mose396	Not applicable	F6Mose396	Not applicable	Not applicable	Not applicable	surface	dust	built environment	Not applicable	Not applicable	F6	Not applicable	computer mouse	Not applicable	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
229	SAMEA103983637	ERX2002818	393.F6Plmr396	human skin metagenome	ERR1942285	ERS1672805	qiita_sid_393:393.F6Plmr396	Missing: Not provided	F6Plmr396	UBERON:skin	UBERON:sebum	UBERON:skin of palmar area of hand	human-associated habitat	sebum	human-skin	human	Homo sapiens	F6	9606	right palm	female	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
213	SAMEA103983638	ERX2002819	393.F7Mose396	indoor metagenome	ERR1942286	ERS1672806	qiita_sid_393:393.F7Mose396	Not applicable	F7Mose396	Not applicable	Not applicable	Not applicable	surface	dust	built environment	Not applicable	Not applicable	F7	Not applicable	computer mouse	Not applicable	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
223	SAMEA103983639	ERX2002820	393.F7Plmr396	human skin metagenome	ERR1942287	ERS1672807	qiita_sid_393:393.F7Plmr396	Missing: Not provided	F7Plmr396	UBERON:skin	UBERON:sebum	UBERON:zone of skin of hand	human-associated habitat	sebum	human-skin	human	Homo sapiens	F7	9606	right palm	female	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
219	SAMEA103983640	ERX2002821	393.F8Mose396	indoor metagenome	ERR1942288	ERS1672808	qiita_sid_393:393.F8Mose396	Not applicable	F8Mose396	Not applicable	Not applicable	Not applicable	surface	dust	built environment	Not applicable	Not applicable	F8	Not applicable	computer mouse	Not applicable	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
230	SAMEA103983641	ERX2002822	393.F8Plmr396	human skin metagenome	ERR1942289	ERS1672809	qiita_sid_393:393.F8Plmr396	Missing: Not provided	F8Plmr396	UBERON:skin	UBERON:sebum	UBERON:zone of skin of hand	human-associated habitat	sebum	human-skin	human	Homo sapiens	F8	9606	right palm	female	OTHER	PRJEB20500	UNIVERSITY OF CALIFORNIA SAN DIEGO MICROBIOME INIT	public	0	454 GS FLX+	SINGLE	PCR	METAGENOMIC	2017-04-22	0	0	LS454	2017-04-21	ERP022657	years	2008-12-01	TRUE	1624.1	urban biome	USA:CO:Boulder	40.0083	-105.2705	UCSDMI	FALSE	fierer_forensic_hand_mouse	TRUE	Forensic identification using skin bacterial communities - hand, mouse
